"","imp","p","nperm"
"Geographic",1.02702692097424,0,500
"wc2.1_30s_bio_3",0.608575724337577,0.026,500
"wc2.1_30s_bio_4",10.1177677842503,0,500
"wc2.1_30s_bio_12",1.43219853763275,0.002,500
"wc2.1_30s_bio_15",3.95732964573215,0,500
"wc2.1_30s_elev",NA,NA,NA
"tasveg_100m_mod",0.315215639377981,0.046,500
"tasveg_100m_def",NA,NA,NA
"tasveg_100m_mol",NA,NA,NA
"tasveg_100m_ngl",NA,NA,NA
"tasveg_100m_nef",NA,NA,NA
"tasveg_100m_raf",0.732745195210221,0.01,500
"tasveg_100m_swl",NA,NA,NA
"tasveg_100m_scr",NA,NA,NA
"tasveg_100m_wef",1.01631043780553,0.004,500
"tasveg_100m_oth",NA,NA,NA
"gen_dftd",2.5840182949776,0,500
"gen15_devil",NA,NA,NA
"year",NA,NA,NA
