var,imp,p,nperm
wc2.1_30s_bio_4,10.11776778,0,500
wc2.1_30s_bio_15,3.957329646,0,500
gen_dftd,2.584018295,0,500
wc2.1_30s_bio_12,1.432198538,0.002,500
Geographic,1.027026921,0,500
tasveg_100m_wef,1.016310438,0.004,500
tasveg_100m_raf,0.732745195,0.01,500
wc2.1_30s_bio_3,0.608575724,0.026,500
tasveg_100m_mod,0.315215639,0.046,500
wc2.1_30s_elev,,,
tasveg_100m_def,,,
tasveg_100m_mol,,,
tasveg_100m_ngl,,,
tasveg_100m_nef,,,
tasveg_100m_swl,,,
tasveg_100m_scr,,,
tasveg_100m_oth,,,
gen15_devil,,,
year,,,
